ID	NAME	URI	TYPE	MAPPINGS
9	20140227_exp0616_Michele_embryo-F9_HPLC_0_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_0_01.raw	RAW	-
10	20140227_exp0616_Michele_embryo-F9_HPLC_0_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_0_02.raw	RAW	-
11	20140227_exp0616_Michele_embryo-F9_HPLC_0_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_0_03.raw	RAW	-
12	20140227_exp0616_Michele_embryo-F9_HPLC_0_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_0_04.raw	RAW	-
13	20140227_exp0616_Michele_embryo-F9_HPLC_0_05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_0_05.raw	RAW	-
14	20140227_exp0616_Michele_embryo-F9_HPLC_0_06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_0_06.raw	RAW	-
15	20140227_exp0616_Michele_embryo-F9_HPLC_0_07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_0_07.raw	RAW	-
16	20140227_exp0616_Michele_embryo-F9_HPLC_0_08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_0_08.raw	RAW	-
17	20140227_exp0616_Michele_embryo-F9_HPLC_0_09.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_0_09.raw	RAW	-
18	20140227_exp0616_Michele_embryo-F9_HPLC_0_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_0_10.raw	RAW	-
19	20140227_exp0616_Michele_embryo-F9_HPLC_0_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_0_11.raw	RAW	-
20	20140227_exp0616_Michele_embryo-F9_HPLC_0_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_0_12.raw	RAW	-
21	20140227_exp0616_Michele_embryo-F9_HPLC_0_13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_0_13.raw	RAW	-
22	20140227_exp0616_Michele_embryo-F9_HPLC_0_14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_0_14.raw	RAW	-
23	20140227_exp0616_Michele_embryo-F9_HPLC_0_15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_0_15.raw	RAW	-
24	20140227_exp0616_Michele_embryo-F9_HPLC_0_16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_0_16.raw	RAW	-
25	20140227_exp0616_Michele_embryo-F9_HPLC_0_17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_0_17.raw	RAW	-
26	20140227_exp0616_Michele_embryo-F9_HPLC_0_18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_0_18.raw	RAW	-
27	20140227_exp0616_Michele_embryo-F9_HPLC_0_19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_0_19.raw	RAW	-
28	20140227_exp0616_Michele_embryo-F9_HPLC_0_20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_0_20.raw	RAW	-
29	20140227_exp0616_Michele_embryo-F9_HPLC_16_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_16_01.raw	RAW	-
30	20140227_exp0616_Michele_embryo-F9_HPLC_16_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_16_02.raw	RAW	-
31	20140227_exp0616_Michele_embryo-F9_HPLC_16_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_16_03.raw	RAW	-
32	20140227_exp0616_Michele_embryo-F9_HPLC_16_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_16_04.raw	RAW	-
33	20140227_exp0616_Michele_embryo-F9_HPLC_16_05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_16_05.raw	RAW	-
34	20140227_exp0616_Michele_embryo-F9_HPLC_16_06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_16_06.raw	RAW	-
35	20140227_exp0616_Michele_embryo-F9_HPLC_16_07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_16_07.raw	RAW	-
36	20140227_exp0616_Michele_embryo-F9_HPLC_16_08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_16_08.raw	RAW	-
37	20140227_exp0616_Michele_embryo-F9_HPLC_16_09.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_16_09.raw	RAW	-
38	20140227_exp0616_Michele_embryo-F9_HPLC_16_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_16_10.raw	RAW	-
39	20140227_exp0616_Michele_embryo-F9_HPLC_16_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_16_11.raw	RAW	-
40	20140227_exp0616_Michele_embryo-F9_HPLC_16_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_16_12.raw	RAW	-
41	20140227_exp0616_Michele_embryo-F9_HPLC_16_13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_16_13.raw	RAW	-
42	20140227_exp0616_Michele_embryo-F9_HPLC_16_14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_16_14.raw	RAW	-
43	20140227_exp0616_Michele_embryo-F9_HPLC_16_15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_16_15.raw	RAW	-
44	20140227_exp0616_Michele_embryo-F9_HPLC_16_16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_16_16.raw	RAW	-
45	20140227_exp0616_Michele_embryo-F9_HPLC_16_17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_16_17.raw	RAW	-
46	20140227_exp0616_Michele_embryo-F9_HPLC_16_18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_16_18.raw	RAW	-
47	20140227_exp0616_Michele_embryo-F9_HPLC_16_19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_16_19.raw	RAW	-
48	20140227_exp0616_Michele_embryo-F9_HPLC_16_20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_16_20.raw	RAW	-
49	20140227_exp0616_Michele_embryo-F9_HPLC_1_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_1_01.raw	RAW	-
50	20140227_exp0616_Michele_embryo-F9_HPLC_1_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_1_02.raw	RAW	-
51	20140227_exp0616_Michele_embryo-F9_HPLC_1_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_1_03.raw	RAW	-
52	20140227_exp0616_Michele_embryo-F9_HPLC_1_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_1_04.raw	RAW	-
53	20140227_exp0616_Michele_embryo-F9_HPLC_1_05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_1_05.raw	RAW	-
54	20140227_exp0616_Michele_embryo-F9_HPLC_1_06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_1_06.raw	RAW	-
55	20140227_exp0616_Michele_embryo-F9_HPLC_1_07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_1_07.raw	RAW	-
56	20140227_exp0616_Michele_embryo-F9_HPLC_1_08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_1_08.raw	RAW	-
57	20140227_exp0616_Michele_embryo-F9_HPLC_1_09.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_1_09.raw	RAW	-
58	20140227_exp0616_Michele_embryo-F9_HPLC_1_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_1_10.raw	RAW	-
59	20140227_exp0616_Michele_embryo-F9_HPLC_1_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_1_11.raw	RAW	-
60	20140227_exp0616_Michele_embryo-F9_HPLC_1_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_1_12.raw	RAW	-
61	20140227_exp0616_Michele_embryo-F9_HPLC_1_13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_1_13.raw	RAW	-
62	20140227_exp0616_Michele_embryo-F9_HPLC_1_14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_1_14.raw	RAW	-
63	20140227_exp0616_Michele_embryo-F9_HPLC_1_15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_1_15.raw	RAW	-
64	20140227_exp0616_Michele_embryo-F9_HPLC_1_16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_1_16.raw	RAW	-
65	20140227_exp0616_Michele_embryo-F9_HPLC_1_17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_1_17.raw	RAW	-
66	20140227_exp0616_Michele_embryo-F9_HPLC_1_18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_1_18.raw	RAW	-
67	20140227_exp0616_Michele_embryo-F9_HPLC_1_19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_1_19.raw	RAW	-
68	20140227_exp0616_Michele_embryo-F9_HPLC_1_20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_1_20.raw	RAW	-
69	20140227_exp0616_Michele_embryo-F9_HPLC_2_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_2_01.raw	RAW	-
70	20140227_exp0616_Michele_embryo-F9_HPLC_2_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_2_02.raw	RAW	-
71	20140227_exp0616_Michele_embryo-F9_HPLC_2_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_2_03.raw	RAW	-
72	20140227_exp0616_Michele_embryo-F9_HPLC_2_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_2_04.raw	RAW	-
73	20140227_exp0616_Michele_embryo-F9_HPLC_2_05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_2_05.raw	RAW	-
74	20140227_exp0616_Michele_embryo-F9_HPLC_2_06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_2_06.raw	RAW	-
75	20140227_exp0616_Michele_embryo-F9_HPLC_2_07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_2_07.raw	RAW	-
76	20140227_exp0616_Michele_embryo-F9_HPLC_2_08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_2_08.raw	RAW	-
77	20140227_exp0616_Michele_embryo-F9_HPLC_2_09.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_2_09.raw	RAW	-
78	20140227_exp0616_Michele_embryo-F9_HPLC_2_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_2_10.raw	RAW	-
79	20140227_exp0616_Michele_embryo-F9_HPLC_2_11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_2_11.raw	RAW	-
80	20140227_exp0616_Michele_embryo-F9_HPLC_2_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_2_12.raw	RAW	-
81	20140227_exp0616_Michele_embryo-F9_HPLC_2_13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_2_13.raw	RAW	-
82	20140227_exp0616_Michele_embryo-F9_HPLC_2_14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_2_14.raw	RAW	-
83	20140227_exp0616_Michele_embryo-F9_HPLC_2_15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_2_15.raw	RAW	-
84	20140227_exp0616_Michele_embryo-F9_HPLC_2_16.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_2_16.raw	RAW	-
85	20140227_exp0616_Michele_embryo-F9_HPLC_2_17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_2_17.raw	RAW	-
86	20140227_exp0616_Michele_embryo-F9_HPLC_2_18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/10/PXD007082/20140227_exp0616_Michele_embryo-F9_HPLC_2_18.raw	RAW	-
